Name,Date,Market_Cap
 HedgeTrade ,"Feb 07, 2019","8,341,220"
 HedgeTrade ,"Feb 06, 2019","8,361,222"
 HedgeTrade ,"Feb 05, 2019","8,478,676"
 HedgeTrade ,"Feb 04, 2019",0
 HedgeTrade ,"Feb 03, 2019",0
 HedgeTrade ,"Feb 02, 2019",0
 HedgeTrade ,"Feb 01, 2019",0
 HedgeTrade ,"Jan 31, 2019",0
 HedgeTrade ,"Jan 30, 2019",0
 Cosmos ,"Apr 02, 2020","378,566,467"
 Cosmos ,"Apr 01, 2020","377,412,285"
 Cosmos ,"Mar 31, 2020","373,592,488"
 Cosmos ,"Mar 30, 2020","376,745,628"
 Cosmos ,"Mar 29, 2020","355,209,916"
 Cosmos ,"Mar 28, 2020","376,580,234"
 Cosmos ,"Mar 27, 2020","386,444,174"
 Cosmos ,"Mar 26, 2020","413,880,354"
 Cosmos ,"Mar 25, 2020","396,575,884"
 Cosmos ,"Mar 24, 2020","408,215,909"
 Cosmos ,"Mar 23, 2020","399,154,264"
 Cosmos ,"Mar 22, 2020","366,967,064"
 Cosmos ,"Mar 21, 2020","411,522,353"
 Cosmos ,"Mar 20, 2020","412,459,432"
 Cosmos ,"Mar 19, 2020","393,668,236"
 HedgeTrade ,"Jan 29, 2019",0
 HedgeTrade ,"Jan 28, 2019",0
 HedgeTrade ,"Jan 27, 2019",0
 HedgeTrade ,"Jan 26, 2019",0
 HedgeTrade ,"Jan 25, 2019",0
 HedgeTrade ,"Jan 24, 2019",0
 HedgeTrade ,"Jan 23, 2019",0
 HedgeTrade ,"Jan 22, 2019",0
 HedgeTrade ,"Jan 21, 2019",0
 HedgeTrade ,"Jan 20, 2019",0
 HedgeTrade ,"Jan 19, 2019",0
 HedgeTrade ,"Jan 18, 2019",0
 HedgeTrade ,"Jan 17, 2019",0
 HedgeTrade ,"Jan 16, 2019",0
 HedgeTrade ,"Jan 15, 2019",0
 HedgeTrade ,"Jan 14, 2019",0
 HedgeTrade ,"Jan 13, 2019",0
 HedgeTrade ,"Jan 12, 2019",0
 Cosmos ,"Mar 18, 2020","334,684,858"
 Cosmos ,"Mar 17, 2020","330,378,405"
 Cosmos ,"Mar 16, 2020","318,018,608"
 Cosmos ,"Mar 15, 2020","369,364,424"
 Cosmos ,"Mar 14, 2020","350,151,345"
 Cosmos ,"Mar 13, 2020","344,277,508"
 Cosmos ,"Mar 12, 2020","314,483,970"
 Cosmos ,"Mar 11, 2020","567,437,541"
 Cosmos ,"Mar 10, 2020","586,230,695"
 Cosmos ,"Mar 09, 2020","574,283,393"
 Cosmos ,"Mar 08, 2020","592,048,092"
 Cosmos ,"Mar 07, 2020","690,453,898"
 Cosmos ,"Mar 06, 2020","733,034,139"
 Cosmos ,"Mar 05, 2020","717,116,869"
 Cosmos ,"Mar 04, 2020","713,568,207"
 Cosmos ,"Mar 03, 2020","692,148,313"
 Cosmos ,"Mar 02, 2020","702,641,441"
 Bitcoin ,"Apr 17, 2020","130,078,472,088"
 HedgeTrade ,"Jan 11, 2019",0
 HedgeTrade ,"Jan 10, 2019",0
 HedgeTrade ,"Jan 09, 2019",0
 HedgeTrade ,"Jan 08, 2019",0
 HedgeTrade ,"Jan 07, 2019",0
 HedgeTrade ,"Jan 06, 2019",0
 HedgeTrade ,"Jan 05, 2019",0
 HedgeTrade ,"Jan 04, 2019",0
